SSD capacity:		4GB
Page size:		4KB
Pages / Block:		128 pages
Block size:		512KB
Physical Blocks:	8K (8192)
User Blocks:		8188
LOG Blocks:		3
PPNs:			1M (1048576)
LPNs:			1048064
Total runs:		x10
Actual capacity:	4292870144 Bytes

Workload : 		Multi Hot/Cold
FTL : 			Log block FTL
partial!! 127 209 1 22 1
partial!! 318 535 1 86 1
partial!! 302 978 1 66 1
partial!! 388 805 1 122 1
partial!! 673 1195 1 89 1
partial!! 1091 828 1 93 1
partial!! 417 262 1 121 1
partial!! 926 712 1 117 1
partial!! 1211 867 1 35 1
partial!! 16 54 1 45 1
partial!! 177 1593 1 102 1
partial!! 508 447 1 109 1
partial!! 1687 1105 1 73 1
partial!! 226 298 1 119 1
partial!! 953 1663 1 122 1
partial!! 1234 1154 1 109 1
partial!! 59 211 1 124 1
partial!! 999 600 1 53 1
partial!! 792 277 1 90 1
partial!! 1210 345 1 15 1
partial!! 1211 204 1 117 1
partial!! 945 725 1 48 1
partial!! 272 1373 1 105 1
partial!! 114 972 1 122 1
partial!! 931 866 1 111 1
partial!! 75 2054 1 98 1
partial!! 1301 1313 1 97 1
partial!! 189 684 1 84 1
partial!! 309 1180 1 107 1
partial!! 2574 431 1 124 1
partial!! 368 492 1 24 1
partial!! 330 992 1 125 1
partial!! 885 1107 1 109 1
partial!! 21 1190 1 112 1
partial!! 1657 1149 1 108 1
partial!! 458 575 1 104 1
partial!! 718 884 1 55 1
partial!! 2648 1959 1 84 1
partial!! 1598 758 1 123 1
partial!! 2565 1673 1 107 1
partial!! 1397 60 1 109 1
partial!! 951 557 1 116 1
partial!! 849 229 1 117 1
partial!! 1285 1045 1 87 1
partial!! 1120 2092 1 110 1
partial!! 1072 1783 1 126 1
partial!! 2290 395 1 125 1
partial!! 1618 2568 1 89 1
partial!! 2308 2617 1 125 1
partial!! 991 1544 1 123 1
partial!! 1650 393 1 110 1
partial!! 1128 176 1 116 1
partial!! 653 2111 1 68 1
partial!! 3397 3376 1 128 1
partial!! 1964 1026 1 119 1
partial!! 746 345 1 88 1
partial!! 2138 716 1 101 1
partial!! 2254 374 1 69 1
partial!! 2107 1566 1 125 1
partial!! 1644 447 1 126 1
partial!! 800 565 1 118 1
partial!! 22 1409 1 125 1
partial!! 1262 1063 1 109 1
partial!! 1453 1173 1 114 1
partial!! 1544 2405 1 126 1
partial!! 1679 464 1 128 1
partial!! 1337 224 1 95 1
partial!! 553 1308 1 119 1
partial!! 3494 985 1 121 1
partial!! 1153 1918 1 121 1
partial!! 934 582 1 111 1
partial!! 1507 834 1 126 1
partial!! 3386 1469 1 124 1
partial!! 2077 1300 1 102 1
partial!! 3822 1308 1 28 1
partial!! 3676 330 1 77 1
partial!! 1660 2888 1 124 1
partial!! 2572 1351 1 44 1
partial!! 318 552 1 122 1
partial!! 3248 2463 1 116 1
partial!! 226 3248 1 121 1
partial!! 2830 335 1 84 1
partial!! 3917 2306 1 115 1
partial!! 2776 2271 1 122 1
partial!! 912 1704 1 31 1
partial!! 4029 1143 1 30 1
partial!! 2919 3042 1 123 1
partial!! 398 3025 1 101 1
partial!! 47 1909 1 79 1
partial!! 792 1740 1 50 1
partial!! 1698 770 1 103 1
partial!! 1324 2876 1 126 1
partial!! 429 2794 1 100 1
partial!! 4148 509 1 114 1
partial!! 2045 2759 1 125 1
partial!! 643 2419 1 99 1
partial!! 2053 3517 1 126 1
partial!! 3728 364 1 39 1
partial!! 185 3742 1 113 1
partial!! 1571 274 1 74 1
partial!! 1016 1112 1 117 1
partial!! 2026 1240 1 127 1
partial!! 90 543 1 104 1
partial!! 886 363 1 118 1
partial!! 80 2175 1 115 1
partial!! 4373 2175 1 108 1
partial!! 1797 2236 1 59 1
partial!! 1940 1593 1 122 1
partial!! 669 4335 1 118 1
partial!! 4196 1619 1 5 1
partial!! 949 182 1 121 1
partial!! 2127 555 1 125 1
partial!! 2195 1673 1 111 1
partial!! 4532 21 1 39 1
partial!! 2759 2273 1 126 1
partial!! 3538 2030 1 109 1
partial!! 3938 427 1 125 1
partial!! 54 123 1 95 1
partial!! 4212 1627 1 84 1
partial!! 2814 2969 1 32 1
partial!! 667 3045 1 91 1
partial!! 1644 2490 1 65 1
partial!! 786 2654 1 126 1
partial!! 132 1185 1 126 1
partial!! 3400 132 1 115 1
partial!! 3634 2812 1 95 1
partial!! 1264 4382 1 122 1
partial!! 330 3322 1 112 1
partial!! 1584 2111 1 126 1
partial!! 3891 610 1 85 1
partial!! 1692 620 1 127 1
partial!! 2895 810 1 127 1
partial!! 3256 2177 1 127 1
partial!! 3885 1670 1 127 1
partial!! 1472 2721 1 128 1
partial!! 860 3828 1 43 1
partial!! 3357 3134 1 122 1
partial!! 1038 1002 1 122 1
partial!! 2124 747 1 53 1
partial!! 3237 2869 1 26 1
partial!! 2758 2879 1 127 1
partial!! 3980 3507 1 122 1
partial!! 3883 3553 1 107 1
partial!! 3171 2573 1 126 1
partial!! 2058 2030 1 126 1
partial!! 3032 2707 1 128 1
partial!! 2143 3058 1 127 1
partial!! 1801 2302 1 118 1
partial!! 1120 4283 1 126 1
partial!! 2448 4067 1 115 1
partial!! 2599 3585 1 85 1
partial!! 848 3458 1 121 1
partial!! 2683 3746 1 114 1
partial!! 2371 256 1 113 1
partial!! 2687 722 1 125 1
partial!! 262 2339 1 127 1
partial!! 982 1727 1 125 1
partial!! 3874 2063 1 103 1
partial!! 4871 2333 1 116 1
partial!! 3659 1402 1 103 1
partial!! 4747 2043 1 99 1
partial!! 2302 3962 1 124 1
partial!! 2858 3194 1 104 1
partial!! 1102 1332 1 108 1
partial!! 4511 4062 1 119 1
partial!! 4865 470 1 49 1
partial!! 876 3885 1 125 1
partial!! 1282 3874 1 127 1
partial!! 1021 1065 1 98 1
partial!! 555 2800 1 124 1
partial!! 1676 2537 1 117 1
partial!! 708 4120 1 54 1
partial!! 4093 4747 1 52 1
partial!! 4568 1548 1 126 1
partial!! 1487 501 1 115 1
partial!! 1516 1469 1 126 1
partial!! 2811 332 1 110 1
partial!! 4360 2234 1 128 1
partial!! 2705 2952 1 127 1
partial!! 1055 3391 1 128 1
partial!! 860 5341 1 125 1
partial!! 3743 2490 1 70 1
partial!! 3513 1795 1 125 1
partial!! 5256 3524 1 35 1
partial!! 807 3043 1 123 1
partial!! 804 1477 1 125 1
partial!! 548 723 1 106 1
partial!! 4834 2199 1 125 1
partial!! 956 1607 1 119 1
partial!! 2085 4008 1 124 1
partial!! 4033 3948 1 115 1
partial!! 3434 3386 1 111 1
partial!! 1356 1480 1 98 1
partial!! 2703 1689 1 68 1
partial!! 1388 1593 1 125 1
partial!! 4023 3127 1 125 1
partial!! 1048 1626 1 127 1
partial!! 4440 1454 1 128 1
partial!! 271 2585 1 128 1
partial!! 3127 4207 1 125 1
partial!! 3869 3555 1 126 1
partial!! 4759 2565 1 53 1
partial!! 573 4566 1 121 1
partial!! 1399 1414 1 116 1
partial!! 2769 5192 1 127 1
partial!! 1830 1101 1 115 1
partial!! 489 4354 1 63 1
partial!! 2444 2918 1 112 1
partial!! 3436 4029 1 127 1
partial!! 3115 4174 1 127 1
partial!! 2667 2737 1 112 1
partial!! 5165 4019 1 126 1
partial!! 2396 2271 1 127 1
partial!! 1642 86 1 126 1
partial!! 2423 350 1 126 1
partial!! 4144 38 1 126 1
partial!! 1604 1544 1 127 1
partial!! 2714 1141 1 99 1
partial!! 2010 2398 1 107 1
partial!! 2733 3000 1 97 1
partial!! 3172 2085 1 120 1
partial!! 4877 4382 1 110 1
partial!! 741 2652 1 126 1
partial!! 4515 1264 1 128 1
partial!! 1666 518 1 128 1
partial!! 2153 1779 1 128 1
partial!! 565 2560 1 128 1
partial!! 851 2662 1 121 1
partial!! 4799 469 1 125 1
partial!! 609 2978 1 126 1
partial!! 2209 2721 1 123 1
partial!! 2912 2997 1 128 1
partial!! 463 4524 1 126 1
partial!! 1503 2271 1 113 1
partial!! 100 4986 1 128 1
partial!! 2622 4773 1 125 1
partial!! 1107 4375 1 128 1
partial!! 5991 3749 1 87 1
partial!! 1289 1828 1 126 1
partial!! 127 4097 1 127 1
partial!! 1002 195 1 117 1
partial!! 523 3867 1 126 1
partial!! 417 3351 1 123 1
partial!! 316 3146 1 115 1
partial!! 2012 2703 1 126 1
partial!! 254 1806 1 127 1
partial!! 346 4620 1 123 1
partial!! 4433 2036 1 119 1
partial!! 1226 4433 1 126 1
partial!! 3698 3017 1 127 1
partial!! 64 3241 1 86 1
partial!! 2126 442 1 124 1
partial!! 3145 3467 1 126 1
partial!! 1024 3603 1 126 1
partial!! 1750 2010 1 123 1
partial!! 2727 4865 1 125 1
partial!! 4818 4335 1 51 1
partial!! 3239 2572 1 112 1
partial!! 2776 4363 1 127 1
partial!! 99 4858 1 127 1
partial!! 81 3858 1 110 1
partial!! 484 1948 1 127 1
partial!! 952 5172 1 124 1
partial!! 2913 2324 1 126 1
partial!! 1033 5460 1 115 1
partial!! 5789 3155 1 120 1
partial!! 805 2973 1 120 1
partial!! 1540 3604 1 128 1
partial!! 605 5666 1 126 1
partial!! 3154 3222 1 123 1
partial!! 4261 3125 1 126 1
partial!! 912 1485 1 126 1
partial!! 2682 5452 1 128 1
partial!! 3363 1982 1 17 1
partial!! 2357 1751 1 128 1
partial!! 3453 3176 1 126 1
partial!! 4196 3097 1 125 1
partial!! 2338 1830 1 14 1
partial!! 759 5023 1 125 1
partial!! 167 327 1 127 1
partial!! 5277 2891 1 5 1
partial!! 3983 3934 1 115 1
partial!! 2750 96 1 112 1
partial!! 3958 407 1 126 1
partial!! 3154 4007 1 128 1
partial!! 3146 3001 1 125 1
partial!! 228 2142 1 124 1
partial!! 3564 1215 1 120 1
partial!! 2760 4142 1 61 1
partial!! 2986 2244 1 126 1
partial!! 3256 1957 1 127 1
partial!! 726 5424 1 125 1
partial!! 2085 3968 1 117 1
partial!! 885 2405 1 123 1
partial!! 3714 881 1 128 1
partial!! 4814 3054 1 74 1
partial!! 3043 5162 1 123 1
partial!! 2247 5440 1 54 1
partial!! 2280 4453 1 128 1
partial!! 2544 4532 1 121 1
partial!! 2839 3917 1 123 1
partial!! 386 3398 1 120 1
partial!! 407 219 1 128 1
partial!! 5175 228 1 128 1
partial!! 1422 4189 1 125 1
partial!! 2753 4875 1 116 1
partial!! 1229 6150 1 128 1
partial!! 1573 1835 1 100 1
partial!! 1048 2188 1 121 1
partial!! 1054 2175 1 113 1
partial!! 253 6179 1 126 1
partial!! 553 253 1 116 1
partial!! 3127 2082 1 126 1
partial!! 3241 2926 1 127 1
partial!! 2446 5258 1 127 1
partial!! 2095 4148 1 125 1
partial!! 3313 6150 1 126 1
partial!! 4663 1375 1 124 1
partial!! 674 2856 1 33 1
partial!! 364 6128 1 121 1
partial!! 6122 431 1 126 1
partial!! 4742 4453 1 126 1
partial!! 3153 1920 1 75 1
partial!! 1043 2443 1 117 1
partial!! 5640 2202 1 125 1
partial!! 4151 4612 1 97 1
partial!! 935 1299 1 126 1
partial!! 1352 2706 1 94 1
partial!! 2237 2401 1 122 1
